"id","recipe_num","product","ingredient","options","grams","included","weight_description"
1,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Capsicum",,20,"yes",
2,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Zucchini Cooked from fresh",,273,"yes",
3,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Broccoli Cooked from fresh",,286,"yes",
4,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Paneer",,200,"yes",
5,2,"Raita Kachumbar no Tomato","Tomato",,,"yes",
6,2,"Raita Kachumbar no Tomato","Cucumber Peeled Raw",,292,"yes",
7,2,"Raita Kachumbar no Tomato","Carrots",,37,"yes",
8,2,"Raita Kachumbar no Tomato","Curd",,300,"yes",
9,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Capsicum",,212,"yes",
10,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Zucchini Cooked from fresh",,273,"yes",
11,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Baby Corn",,102,"yes",
12,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Paneer",,200,"yes",
13,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Cream Cheese",,230,"yes",
14,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Olive Oil",,9,"yes","2 tsp"
15,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Parsley Fresh",,8,"yes","120 ml"
16,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Garlic",,3,"yes","1 clove"
17,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Lemon Zest",,2,"yes","1 tsp"
18,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Salt",,2,"yes","to taste"
19,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Pepper Black",,2,"yes","to taste"
20,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Celery",,160,"yes","4 stalks"
21,5,"Mint Chicken Curry","Mint Dried",,7.5,"yes",
22,5,"Mint Chicken Curry","Coriander Fresh",,7.5,"yes",
23,5,"Mint Chicken Curry","Curd",,150,"yes",
24,5,"Mint Chicken Curry","Onions",,287,"yes",
25,5,"Mint Chicken Curry","Chilli Green",,5,"yes",
26,5,"Mint Chicken Curry","Tomato",,442,"yes",
27,5,"Mint Chicken Curry","Chicken Breast",,500,"yes",
28,5,"Mint Chicken Curry","Chicken Curry Cut",,1000,"yes",
29,5,"Mint Chicken Curry","Ginger Garlic Paste",,19,"yes",
30,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Capsicum",,371,"yes",
31,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Zucchini Cooked from fresh",,302,"yes",
32,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Baby Corn",,148,"yes",
33,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Paneer",,600,"yes",
34,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Lime Juice",,10,"yes",
35,7,"Raita Kachumbar","Tomato",,468,"yes",
36,7,"Raita Kachumbar","Cucumber Peeled Raw",,470,"yes",
37,7,"Raita Kachumbar","Carrots",,0,"yes",
38,7,"Raita Kachumbar","Curd",,600,"yes",
39,8,"Keto Caesar dressing","Parmesan",,80,"yes","240 ml"
40,8,"Keto Caesar dressing","Olive Oil",,65,"yes","120 ml"
41,8,"Keto Caesar dressing","Dijon Mustard",,15,"yes","1 tbsp"
42,8,"Keto Caesar dressing","Red Wine Vinegar",,5,"yes","1 tsp"
43,8,"Keto Caesar dressing","Garlic",,1.5,"yes","1/2 clove"
44,8,"Keto Caesar dressing","Anchovies",,21,"yes",
45,8,"Keto Caesar dressing","Lemon Juice",,17,"yes","1/2 lemon"
46,8,"Keto Caesar dressing","Pepper Black",,0.3,"yes","a pinch"
47,8,"Keto Caesar dressing","Salt",,3,"yes","1/2 tsp"
48,9,"Millet Curd Rice","Millet Cooked",,696,"yes",
49,9,"Millet Curd Rice","Curd",,169.5,"yes",
50,9,"Millet Curd Rice","Cumin Seeds",,1,"yes",
51,9,"Millet Curd Rice","Mustard Seeds",,1,"yes",
52,9,"Millet Curd Rice","Pepper Black",,1.07,"yes",
53,9,"Millet Curd Rice","Curry Leaves",,1,"yes",
54,9,"Millet Curd Rice","Chilli Red",,45,"yes",
55,9,"Millet Curd Rice","Hing",,0.3,"yes",
56,9,"Millet Curd Rice","Salt",,4,"yes",
57,9,"Millet Curd Rice","Water",,,"yes",
58,10,"Mayonnaise Homemade","Egg Uncooked",,50,"yes","1 egg"
59,10,"Mayonnaise Homemade","Dijon Mustard",,5,"yes","1 tsp"
60,10,"Mayonnaise Homemade","Lemon Juice",,10,"yes","2 tsp"
61,10,"Mayonnaise Homemade","White Wine Vinegar","Can use instead of Lemon Juice",10,"no","2 tsp"
62,10,"Mayonnaise Homemade","Salt",,1.52,"yes","1/4 tsp"
63,10,"Mayonnaise Homemade","Olive Oil",,216,"yes","240 ml"
64,11,"Guacamole","Avocado Hass",,400,"yes","2 avocados"
65,11,"Guacamole","Onions White",,55,"yes","1/2 onion"
66,11,"Guacamole","Lime Juice",,7.5,"yes","1/2 lime"
67,11,"Guacamole","Tomato",,110,"yes","1 tomato"
68,11,"Guacamole","Coriander Fresh",,4,"yes","60 ml"
69,11,"Guacamole","Garlic",,3,"yes","1 clove"
70,11,"Guacamole","Salt",,1.5,"yes","to taste"
71,11,"Guacamole","Pepper Black",,0.3,"yes","to taste"
72,12,"Keto Ranch Dip","Mayonnaise Homemade",,240,"yes","240 ml"
73,12,"Keto Ranch Dip","Sour Cream",,120,"yes","120 ml"
74,12,"Keto Ranch Dip","Ranch Seasoning Urban Platter",,5,"yes","2 tbsp"
75,12,"Keto Ranch Dip","Salt",,1.5,"yes","to taste"
76,13,"Chimichurri Sauce 1","Lemon",,58,"yes","1 lemon"
77,13,"Chimichurri Sauce 1","Capsicum",,70,"yes","1/2 pepper"
78,13,"Chimichurri Sauce 1","Chilli Green",,2,"yes","1 chilli"
79,13,"Chimichurri Sauce 1","Olive Oil",,180,"yes","180 ml"
80,13,"Chimichurri Sauce 1","Parsley Fresh",,8,"yes","120 ml"
81,13,"Chimichurri Sauce 1","Garlic",,6,"yes","2 cloves"
82,13,"Chimichurri Sauce 1","Salt",,1.5,"yes","to taste"
83,13,"Chimichurri Sauce 1","Pepper Black",,1.5,"yes","to taste"
84,14,"Tzatziki Dip","Cucumber Peeled Raw",,170,"yes",
85,14,"Tzatziki Dip","Greek Yoghurt",,180,"yes","240 ml"
86,14,"Tzatziki Dip","Garlic",,2,"yes","2 cloves"
87,14,"Tzatziki Dip","Dill Fresh",,3.75,"yes","1 tbsp"
88,14,"Tzatziki Dip","Parsley Fresh","Can use instead of Dill",3.75,"no","1 tbsp"
89,14,"Tzatziki Dip","Olive Oil",,6.75,"yes","1/2 tbsp"
90,14,"Tzatziki Dip","Salt",,1.5,"yes","to taste"
91,14,"Tzatziki Dip","Pepper Black",,1.5,"yes","to taste"
92,15,"Cowboy Sauce","Butter Salted",,200,"yes",
93,15,"Cowboy Sauce","Green Onions",,15,"yes","1 scallion"
94,15,"Cowboy Sauce","Dijon Mustard",,15,"yes","2 tbsp"
95,15,"Cowboy Sauce","Parsley Fresh",,8,"yes","2 tbsp"
96,15,"Cowboy Sauce","Chives Fresh",,6,"yes","2 tbsp"
97,15,"Cowboy Sauce","Cider Vinegar",,14.94,"yes","1 tbsp"
98,15,"Cowboy Sauce","Horseradish",,15,"yes","1 tbsp"
99,15,"Cowboy Sauce","Thyme Dried",,1,"yes","1 tsp"
100,15,"Cowboy Sauce","Paprika",,2.3,"yes","1 tsp"
101,15,"Cowboy Sauce","Garlic",,6,"yes","2 cloves"
102,15,"Cowboy Sauce","Pepper Black",,1.1,"yes","1/4 tsp"
103,15,"Cowboy Sauce","Cayenne Pepper",,0.3,"yes","a pinch"
104,15,"Cowboy Sauce","Whipping Cream",,28.9,"yes","2 tbsp"
105,16,"Keto Blue Cheese Dressing","Blue Cheese",,140,"yes",
106,16,"Keto Blue Cheese Dressing","Greek Yoghurt",,140,"yes","180 ml"
107,16,"Keto Blue Cheese Dressing","Mayonnaise Homemade",,30,"yes","2 tbsp"
108,16,"Keto Blue Cheese Dressing","Whipping Cream",,60.8,"yes","60 ml"
109,16,"Keto Blue Cheese Dressing","Salt",,1,"yes","to taste"
110,16,"Keto Blue Cheese Dressing","Pepper Black",,1,"yes","to taste"
111,17,"Keto Avocado Hummus","Avocado Hass",,600,"yes","3 avocados"
112,17,"Keto Avocado Hummus","Coriander Fresh",,8,"yes","120 ml"
113,17,"Keto Avocado Hummus","Olive Oil",,108,"yes","120 ml"
114,17,"Keto Avocado Hummus","Sunflower Seeds",,35,"yes","60 ml"
115,17,"Keto Avocado Hummus","Tahini",,50,"yes","60 ml"
116,17,"Keto Avocado Hummus","Lemon Juice",,15.24,"yes","1 tbsp"
117,17,"Keto Avocado Hummus","Garlic",,3,"yes","1 clove"
118,17,"Keto Avocado Hummus","Cumin Ground",,1.05,"yes","1/2 tsp"
119,17,"Keto Avocado Hummus","Salt",,3.04,"yes","1/2 tsp"
120,17,"Keto Avocado Hummus","Pepper Black",,0.53,"yes","1/4 tsp"
121,18,"Eggplant Dip","Eggplant Raw",,600,"yes",
122,18,"Eggplant Dip","Cumin Ground",,1.05,"yes","1/2 tsp"
123,18,"Eggplant Dip","Olive Oil",,54,"yes","60 ml"
124,18,"Eggplant Dip","Lemon Juice",,15.24,"yes","1 tbsp"
125,18,"Eggplant Dip","Sesame Seeds",,18,"yes","2 tbsp"
126,18,"Eggplant Dip","Salt",,3.04,"yes","to taste"
127,18,"Eggplant Dip","Pepper Black",,0.53,"yes","to taste"
128,19,"Cottage Cheese Sauce with Chives","Mayonnaise Homemade",,117,"yes","120 ml"
129,19,"Cottage Cheese Sauce with Chives","Cottage Cheese",,1.05,"yes","120 ml"
130,19,"Cottage Cheese Sauce with Chives","Garlic",,6,"yes","2 cloves"
131,19,"Cottage Cheese Sauce with Chives","Chives Fresh",,3,"yes","1 tbsp"
132,19,"Cottage Cheese Sauce with Chives","Lemon Zest",,1.5,"yes","1/4 lemon"
133,19,"Cottage Cheese Sauce with Chives","Salt",,3,"yes","to taste"
134,19,"Cottage Cheese Sauce with Chives","Pepper Black",,0.5,"yes","to taste"
135,20,"Spicy Keto Pimiento Cheese","Mayonnaise Homemade",,77.76,"yes","80 ml"
136,20,"Spicy Keto Pimiento Cheese","Pimiento",,48,"yes","4 tbsp"
137,20,"Spicy Keto Pimiento Cheese","Jalapenos Pickled","Can use instead of Pimiento",48,"no","4 tbsp"
138,20,"Spicy Keto Pimiento Cheese","Paprika",,2.3,"yes","1 tsp"
139,20,"Spicy Keto Pimiento Cheese","Dijon Mustard",,15,"yes","1 tbsp"
140,20,"Spicy Keto Pimiento Cheese","Cheddar",,110,"yes","240 ml"
141,20,"Spicy Keto Pimiento Cheese","Cayenne Pepper",,0.6,"yes","a pinch"
142,20,"Spicy Keto Pimiento Cheese","Chives Fresh",,1,"yes","for decoration"
143,21,"Keto Spinach Dip","Spinach",,55,"yes",
144,21,"Keto Spinach Dip","Parsley Dried",,0.96,"yes","2 tbsp"
145,21,"Keto Spinach Dip","Dill Dried",,1.55,"yes","1 tbsp"
146,21,"Keto Spinach Dip","Onion Powder",,2.3,"yes","1 tsp"
147,21,"Keto Spinach Dip","Salt",,3.04,"yes","1/2 tsp"
148,21,"Keto Spinach Dip","Pepper Black",,0.53,"yes","1/4 tsp"
149,21,"Keto Spinach Dip","Mayonnaise Homemade",,117,"yes","120 ml"
150,21,"Keto Spinach Dip","Sour Cream",,123,"yes","120 ml"
151,21,"Keto Spinach Dip","Lemon Juice",,10.16,"yes","2 tsp"
152,22,"Butter Mayonnaise","Butter Salted",,170,"yes",
153,22,"Butter Mayonnaise","Egg Yolk Raw",,18,"yes","1 egg"
154,22,"Butter Mayonnaise","Dijon Mustard",,15,"yes","1 tbsp"
155,22,"Butter Mayonnaise","Lemon Juice",,5.08,"yes","1 tsp"
156,22,"Butter Mayonnaise","Salt",,1.52,"yes","1/4 tsp"
157,22,"Butter Mayonnaise","Pepper Black",,0.3,"yes","a pinch"
158,23,"Keto Salsa Dressing","Salsa",,113,"yes","120 ml"
159,23,"Keto Salsa Dressing","Olive Oil",,54,"yes","60 ml"
160,23,"Keto Salsa Dressing","Sour Cream",,122.74,"yes","120 ml"
161,23,"Keto Salsa Dressing","Mayonnaise Homemade",,86.4,"yes","6 tbsp"
162,23,"Keto Salsa Dressing","Cider Vinegar",,44.82,"yes","3 tbsp"
163,23,"Keto Salsa Dressing","Chilli Powder",,2.68,"yes","1 tsp"
164,23,"Keto Salsa Dressing","Garlic",,3,"yes","1 clove"
165,23,"Keto Salsa Dressing","Salt",,1.5,"yes","to taste"
166,23,"Keto Salsa Dressing","Pepper Black",,1,"yes","to taste"
167,24,"Keto Chilli Aioli","Egg Yolk Raw",,18,"yes","1 egg"
168,24,"Keto Chilli Aioli","Garlic",,6,"yes","2 cloves"
169,24,"Keto Chilli Aioli","Oil Avocado",,97.5,"yes","180 ml"
170,24,"Keto Chilli Aioli","Chilli Flakes",,0.9,"yes","1/2 tsp"
171,24,"Keto Chilli Aioli","Salt",,3.04,"yes","1/2 tsp"
172,24,"Keto Chilli Aioli","Pepper Black",,0.53,"yes","1/4 tsp"
173,24,"Keto Chilli Aioli","Lemon Juice",,15.24,"yes","1 tbsp"
174,24,"Keto Chilli Aioli","Greek Yoghurt",,53.4,"yes","3 tbsp"
175,25,"Lebanese Garlic Cream","Garlic",,2,"yes","2 cloves"
176,25,"Lebanese Garlic Cream","Lemon Juice",,30.48,"yes","2 tbsp"
177,25,"Lebanese Garlic Cream","Salt",,3.04,"yes","1/2 tsp"
178,25,"Lebanese Garlic Cream","Egg White Raw",,60,"yes","2 eggs"
179,25,"Lebanese Garlic Cream","Olive Oil",,216,"yes","240 ml"
180,25,"Lebanese Garlic Cream","Sumac Powder",,1.35,"yes","1/2 tsp"
181,26,"Herb Butter","Butter Salted",,140,"yes",
182,26,"Herb Butter","Garlic",,3,"yes","1 clove"
183,26,"Herb Butter","Garlic Powder",,4.2,"yes","1/2 tbsp"
184,26,"Herb Butter","Parsley Fresh",,4,"yes","60 ml"
185,26,"Herb Butter","Lemon Juice",,5.08,"yes","1 tsp"
186,26,"Herb Butter","Salt",,3.04,"yes","1/2 tsp"
187,27,"Chicken Stock Homemade","Chicken Whole",,1500,"yes",
188,27,"Chicken Stock Homemade","Olive Oil",,27,"yes","2 tbsp"
189,27,"Chicken Stock Homemade","Carrots",,60,"yes","1 carrot"
190,27,"Chicken Stock Homemade","Onions Brown",,110,"yes","1 onion"
191,27,"Chicken Stock Homemade","Leeks",,90,"yes","1 leek"
192,27,"Chicken Stock Homemade","Garlic",,6,"yes","2 cloves"
193,27,"Chicken Stock Homemade","Thyme Dried",,3,"yes","1 tbsp"
194,27,"Chicken Stock Homemade","Bay Leaf",,0.33,"yes","1 leaf"
195,27,"Chicken Stock Homemade","Peppercorns",,2.3,"yes","1 tsp"
196,27,"Chicken Stock Homemade","Water",,,"yes","1.4 ltrs"
197,27,"Chicken Stock Homemade","Salt",,6,"yes","to taste"
198,28,"Keto Thousand Island Dressing","Mayonnaise Homemade",,233,"yes","240 ml"
199,28,"Keto Thousand Island Dressing","Sour Cream",,249,"yes","240 ml"
200,28,"Keto Thousand Island Dressing","Chilli Sauce",,60,"yes","60 ml"
201,28,"Keto Thousand Island Dressing","Shallots",,30,"yes","1 shallot"
202,28,"Keto Thousand Island Dressing","Capsicum",,60,"yes","1/2 pepper"
203,28,"Keto Thousand Island Dressing","Dill Pickles",,60,"yes","60 ml"
204,28,"Keto Thousand Island Dressing","Tabasco Sauce",,4.7,"yes","1 tsp"
205,28,"Keto Thousand Island Dressing","Salt",,3,"yes","to taste"
206,28,"Keto Thousand Island Dressing","Pepper Black",,1,"yes","to taste"
207,29,"Aviyal Homemade","Coconut",,50,"yes",
208,29,"Aviyal Homemade","Potato",,50,"yes",
209,29,"Aviyal Homemade","Gourd Snake",,50,"yes",
210,29,"Aviyal Homemade","Dosakaya",,110,"yes",
211,29,"Aviyal Homemade","Eggplant Raw",,90,"yes",
212,29,"Aviyal Homemade","Drumstick",,23,"yes",
213,29,"Aviyal Homemade","Banana Raw",,100,"yes",
214,29,"Aviyal Homemade","Chilli Green",,12,"yes",
215,30,"Cabbage Thoran Homemade","Oil Sunflower",,28.4,"yes",
216,30,"Cabbage Thoran Homemade","Cabbage Green",,360,"yes",
217,30,"Cabbage Thoran Homemade","Coconut",,20,"yes",
218,30,"Cabbage Thoran Homemade","Garlic",,9,"yes",
219,30,"Cabbage Thoran Homemade","Chilli Green",,12,"yes",
220,30,"Cabbage Thoran Homemade","Cumin Seeds",,2,"yes",
221,31,"Parippu Homemade","Dal Moong",,120,"yes",
222,31,"Parippu Homemade","Curry Leaves",,1,"yes",
223,31,"Parippu Homemade","Knorr Hot and Sour Vegetable Soup 41g packet",,41,"yes",
224,31,"Parippu Homemade","Knorr Sweet Corn Vegetable Soup 44g packet",,44,"yes",
225,32,"Erisseri Homemade","Dal Lobia",,200,"yes",
226,32,"Erisseri Homemade","Banana Raw",,100,"yes",
227,32,"Erisseri Homemade","Coconut",,50,"yes",
228,32,"Erisseri Homemade","Garlic",,9,"yes",
229,32,"Erisseri Homemade","Chilli Green",,12,"yes",
230,32,"Erisseri Homemade","Cumin Seeds",,2,"yes",
231,32,"Erisseri Homemade","Turmeric Powder",,1.13,"yes",
232,32,"Erisseri Homemade","Oil Sunflower",,41,"yes",
233,33,"Anchovy Fry Homemade","Anchovies",,500,"yes",
234,33,"Anchovy Fry Homemade","Salt",,3,"yes",
235,33,"Anchovy Fry Homemade","Chilli Powder",,1.5,"yes",
236,33,"Anchovy Fry Homemade","Lime Juice",,5,"yes",
237,34,"Kerala Netholi Fry (Anchovy Fry)","Anchovies",,500,"yes",
238,34,"Kerala Netholi Fry (Anchovy Fry)","Flour White Rice",,10,"yes","1 tbsp"
239,34,"Kerala Netholi Fry (Anchovy Fry)","Oil Vegetable",,109,"yes","for pan frying"
240,34,"Kerala Netholi Fry (Anchovy Fry)","Curry Leaves",,10,"yes","small handful"
241,34,"Kerala Netholi Fry (Anchovy Fry)","Shallots",,100,"yes","5 small shallots"
242,34,"Kerala Netholi Fry (Anchovy Fry)","Ginger Fresh",,1,"yes","1/2 tsp"
243,34,"Kerala Netholi Fry (Anchovy Fry)","Garlic",,2.81,"yes","1 tsp"
244,34,"Kerala Netholi Fry (Anchovy Fry)","Chilli Powder",,1.5,"yes","2 tbsp"
245,34,"Kerala Netholi Fry (Anchovy Fry)","Pepper Black",,1.07,"yes","1/2 tsp"
246,34,"Kerala Netholi Fry (Anchovy Fry)","Turmeric Powder",,0.57,"yes","1/4 tsp"
247,34,"Kerala Netholi Fry (Anchovy Fry)","Lime Juice",,5.04,"yes","1 tsp"
248,34,"Kerala Netholi Fry (Anchovy Fry)","Salt",,3.04,"yes","1/2 tsp"
249,35,"Satay Sauce","Coconut Milk Liquid From Grated Meat",,410,"yes",
250,35,"Satay Sauce","Curry Paste Red",,9.46,"yes","2 tsp"
251,35,"Satay Sauce","Garlic",,3,"yes","1 clove"
252,35,"Satay Sauce","Soy Sauce",,15.94,"yes","1 tbsp"
253,35,"Satay Sauce","Peanut Butter Natural Salted",,81.1,"yes","80 ml"
254,36,"Butter Base","Butter Salted",,85,"yes",
255,36,"Butter Base","Sea Salt",,3,"yes","1/2 tsp"
256,36,"Butter Base","Pepper Black",,0.53,"yes","1/4 tsp"
257,37,"Butter Chilli","Butter Base",,88.53,"yes",
258,37,"Butter Chilli","Chilli Powder",,2.68,"yes","1 tsp"
259,37,"Butter Chilli","Cumin Ground",,0.53,"yes","1/4 tsp"
260,37,"Butter Chilli","Lime Juice",,5.04,"yes","1 tsp"
261,37,"Butter Chilli","Chilli Red",,23,"yes","1/2 pepper"
262,38,"Butter Capers","Butter Base",,88.53,"yes",
263,38,"Butter Capers","Capers",,8.6,"yes","1 tbsp"
264,38,"Butter Capers","Shallots",,10,"yes","1tb"
265,38,"Butter Capers","Dijon Mustard",,7.5,"yes","1/2 tbsp"
266,39,"Butter Olive","Butter Base",,88.53,"yes",
267,39,"Butter Olive","Olive Black",,40,"yes","10 pitted olives"
268,39,"Butter Olive","Garlic",,3,"yes","1 clove"
269,39,"Butter Olive","Rosemary Fresh",,0.57,"yes","1 tsp"
270,39,"Butter Olive","Lemon Juice",,5.08,"yes","1 tsp"
271,39,"Butter Olive","Lemon Zest",,0.5,"yes","a pinch"
272,40,"Butter Tomato","Butter Base",,88.53,"yes",
273,40,"Butter Tomato","Tomato Paste",,16,"yes","1 tbsp"
274,40,"Butter Tomato","Red Wine Vinegar",,5,"yes","1 tsp"
275,40,"Butter Tomato","Cinnamon",,0.43,"yes","a pinch"
276,40,"Butter Tomato","Paprika",,6.9,"yes","1 tbsp"
277,40,"Butter Tomato","Onion Powder",,1.15,"yes","1/2 tsp"
278,41,"Butter Horseradish","Butter Base",,88.53,"yes",
279,41,"Butter Horseradish","Horseradish",,28,"yes",
280,41,"Butter Horseradish","White Wine Vinegar",,5,"yes","1 tsp"
281,42,"Butter Fresh Mint","Butter Base",,88.53,"yes",
282,42,"Butter Fresh Mint","Mint Fresh",,11,"yes","2 tbsp"
283,42,"Butter Fresh Mint","Parsley Fresh",,7.69,"yes","2 tbsp"
284,42,"Butter Fresh Mint","Lemon Juice",,2.54,"yes","1 tsp"
285,43,"Mayonnaise Chipotle","Mayonnaise Homemade",,77.8,"yes","80 ml"
286,43,"Mayonnaise Chipotle","Tomato Paste",,10.5,"yes","2 tsp"
287,43,"Mayonnaise Chipotle","Chipotle Powder",,1.3,"yes","1/2 tsp"
288,43,"Mayonnaise Chipotle","Salt",,1.52,"yes","to taste"
289,43,"Mayonnaise Chipotle","Pepper Black",,2,"yes","to taste"
290,44,"Tex Mex or Taco Seasoning","Chilli Powder",,4,"yes","1 tbsp"
291,44,"Tex Mex or Taco Seasoning","Paprika",,4.6,"yes","2 tsp"
292,44,"Tex Mex or Taco Seasoning","Cumin Ground",,4.2,"yes","2 tsp"
293,44,"Tex Mex or Taco Seasoning","Garlic Powder",,2.8,"yes","1 tsp"
294,44,"Tex Mex or Taco Seasoning","Onion Powder",,2.3,"yes","1 tsp"
295,44,"Tex Mex or Taco Seasoning","Chilli Flakes",,0.9,"yes","1/2 tsp"
296,44,"Tex Mex or Taco Seasoning","Oregano Dried",,0.5,"yes","1/2 tsp"
297,44,"Tex Mex or Taco Seasoning","Pepper Black",,1.07,"yes","1/2 tsp"
298,44,"Tex Mex or Taco Seasoning","Cinnamon",,0.3,"yes","a pinch"
299,44,"Tex Mex or Taco Seasoning","Cloves Ground",,0.3,"yes","a pinch"
300,44,"Tex Mex or Taco Seasoning","Sea Salt",,4.5,"yes","1 tbsp"
301,45,"Ranch Seasoning Homemade","Parsley Dried",,19,"yes","180 ml"
302,45,"Ranch Seasoning Homemade","Garlic Powder",,50,"yes","80 ml"
303,45,"Ranch Seasoning Homemade","Onion Powder",,38,"yes","80 ml"
304,45,"Ranch Seasoning Homemade","Dill Dried",,1.55,"yes","1 tbsp"
305,45,"Ranch Seasoning Homemade","Chives Dried",,2.96,"yes","1 tbsp"
306,45,"Ranch Seasoning Homemade","Pepper Black",,3.2,"yes","1.2 tb"
307,46,"Keto Bechamel Sauce","Whipping Cream",,415,"yes","425 ml"
308,46,"Keto Bechamel Sauce","Cream Cheese",,200,"yes","210 ml"
309,46,"Keto Bechamel Sauce","Salt",,3.04,"yes","1/2 tsp"
310,46,"Keto Bechamel Sauce","Pepper Black",,0.53,"yes","1/4 tsp"
311,46,"Keto Bechamel Sauce","Nutmeg Dried",,0.55,"yes","1/4 tsp"
312,47,"Pumpkin Spice","Cinnamon",,23.55,"yes","3 tbsp"
313,47,"Pumpkin Spice","Nutmeg Dried",,4.4,"yes","2 tsp"
314,47,"Pumpkin Spice","Ginger Dried",,3.6,"yes","2 tsp"
315,47,"Pumpkin Spice","Cloves Ground",,2.16,"yes","1 tsp"
316,47,"Pumpkin Spice","Allspice Dried",,2,"yes","1 tsp"
317,48,"Ranch Dressing","Ranch Seasoning Homemade",,28.3,"yes","2 tbsp"
318,48,"Ranch Dressing","Mayonnaise Homemade",,175,"yes","180 ml"
319,48,"Ranch Dressing","Sour Cream",,184,"yes","180 ml"
320,48,"Ranch Dressing","Whipping Cream",,175.75,"yes","180 ml"
321,48,"Ranch Dressing","Lemon Juice",,2.54,"yes","1/2 tsp"
322,48,"Ranch Dressing","Salt",,3.04,"yes","to taste"
323,49,"Keto Ranch Dressing with Bacon and Veggies","Ranch Dressing",,568.63,"yes",
324,49,"Keto Ranch Dressing with Bacon and Veggies","Bacon",,450,"yes",
325,49,"Keto Ranch Dressing with Bacon and Veggies","Celery",,140,"yes","About 4 stalks"
326,49,"Keto Ranch Dressing with Bacon and Veggies","Bell Pepper Red",,140,"yes",
327,49,"Keto Ranch Dressing with Bacon and Veggies","Bell Pepper Yellow",,140,"yes",
328,49,"Keto Ranch Dressing with Bacon and Veggies","Tomato Cherry",,200,"yes",
329,50,"Classic Pesto","Olive Oil",,144,"yes","160 ml"
330,50,"Classic Pesto","Parmesan",,80,"yes","240 ml"
331,50,"Classic Pesto","Basil Fresh",,55,"yes","300 ml"
332,50,"Classic Pesto","Pine Nuts",,55,"yes","95 ml"
333,50,"Classic Pesto","Garlic",,3,"yes","1 clove"
334,50,"Classic Pesto","Salt",,3,"yes","to taste"
335,50,"Classic Pesto","Pepper Black",,0.5,"yes","to taste"
336,51,"Italian Seasoning Homemade","Basil Dried",,6.3,"yes","3 tbsp"
337,51,"Italian Seasoning Homemade","Oregano Dried",,9,"yes","3 tbsp"
338,51,"Italian Seasoning Homemade","Parsley Dried",,4.32,"yes","3 tbsp"
339,51,"Italian Seasoning Homemade","Garlic Powder",,8.4,"yes","1 tbsp"
340,51,"Italian Seasoning Homemade","Onion Powder",,2.3,"yes","1 tsp"
341,51,"Italian Seasoning Homemade","Thyme Dried",,1,"yes","1 tsp"
342,51,"Italian Seasoning Homemade","Rosemary Dried",,1.12,"yes","1 tsp"
343,51,"Italian Seasoning Homemade","Sage Dried",,0.32,"yes","1 tsp"
344,51,"Italian Seasoning Homemade","Pepper Black",,0.53,"yes","1/4 tsp"
345,51,"Italian Seasoning Homemade","Chilli Flakes",,0.45,"yes","1/4 tsp"
346,51,"Italian Seasoning Homemade","Sea Salt",,18,"yes","1 tbsp"
347,52,"Wasabi Mayonnaise","Mayonnaise Homemade",,243,"yes",
348,52,"Wasabi Mayonnaise","Wasabi Paste",,10,"yes","1/2 tbsp"
349,53,"Bearnaise Sauce","Egg Yolk Raw",,68,"yes","4 eggs"
350,53,"Bearnaise Sauce","White Wine Vinegar",,10,"yes","2 tsp"
351,53,"Bearnaise Sauce","Onion Powder",,0.58,"yes","1/4 tsp"
352,53,"Bearnaise Sauce","Tarragon Fresh",,4.8,"yes","2 tbsp"
353,53,"Bearnaise Sauce","Butter Salted",,280,"yes",
354,53,"Bearnaise Sauce","Salt",,3,"yes","to taste"
355,53,"Bearnaise Sauce","Pepper Black",,0.5,"yes","to taste"
356,54,"Blue Cheese Butter","Blue Cheese",,140,"yes",
357,54,"Blue Cheese Butter","Butter Salted",,85,"yes",
358,54,"Blue Cheese Butter","Parsley Fresh",,7.69,"yes","2 tbsp"
359,54,"Blue Cheese Butter","Salt",,3,"yes","to taste"
360,54,"Blue Cheese Butter","Pepper Black",,0.5,"yes","to taste"
361,55,"Mild Curry Seasoning","Cumin Ground",,12.6,"yes","2 tbsp"
362,55,"Mild Curry Seasoning","Coriander Seeds",,10,"yes","2 tbsp"
